Month,Total_Inflows,Active_Accounts,ACHoutPerActive,ACHoutShare,ACHoutQuantity,ACHoutAmount,ACHoutRate,RTPoutPerActive,RTPoutShare,RTPoutQuantity,RTPoutAmount,RTPoutRate,WireOutPerActive,WireOutShare,WireOutQuantity,WireOutAmount,WireOutRate,DebitCardTransactionsPerActive,DebitCardTransactionShare,DebitCardTransactionsQuantity,DebitCardTransactionAmount,DebitCardTransactionRate,PQ_Total_Inflows,PQ_Active_Accounts,PQ_ACHoutPerActive,PQ_ACHoutShare,PQ_ACHoutQuantity,PQ_ACHoutAmount,PQ_ACHoutRate,PQ_RTPoutPerActive,PQ_RTPoutShare,PQ_RTPoutQuantity,PQ_RTPoutAmount,PQ_RTPoutRate,PQ_WireOutPerActive,PQ_WireOutShare,PQ_WireOutQuantity,PQ_WireOutAmount,PQ_WireOutRate,PQ_DebitPerActive,PQ_DebitShare,PQ_DebitQuantity,PQ_DebitAmount,PQ_DebitRate,Delta_ACH_Share,Delta_ACH_Qty,Delta_ACH_Amt,Delta_ACH_Rate,Delta_RTP_Share,Delta_RTP_Qty,Delta_RTP_Amt,Delta_RTP_Rate,Delta_Wire_Share,Delta_Wire_Qty,Delta_Wire_Amt,Delta_Wire_Rate,Abs_Delta_Wire_Amt
40,687680000,208120,1.96,0.4025119,407915,276799383,678.5712293,0.84,0.1725051,174821,118628307,678.5701203,0.0013333,0.000242415,277,166704,601.8194946,22,0.855036414,4578640,249743829,54.5454172,687680000,208120,1.96,0.4025119,407915,276799383,678.5712293,0.84,0.1725051,174820,118628307,678.5740018,0.001333333,0.000290941,277,200074,722.2888087,22,0.855036414,4578640,249715297,54.53918565,0,0,0,-2.21917E-10,0,1,0,-0.00388153,-4.85258E-05,0,-33370,-120.4693141,33370
39,680873500,206060,1.96,0.4025119,403878,274059686,678.5704743,0.84,0.1725051,173090,117454151,678.5727136,0.0013333,0.000242415,275,165054,600.1963636,22,0.855036414,4533320,247271921,54.54543712,680873500,206060,1.96,0.4025119,403877,274059686,678.5721544,0.84,0.1725051,173090,117454151,678.5727136,0.001333333,0.000287365,275,195659,711.4872727,22,0.855036414,4533320,247245753,54.53966475,0,1,0,-0.001680094,0,0,0,-1.7193E-08,-4.49496E-05,0,-30605,-111.2909091,30605
38,674133000,204020,1.96,0.4025119,399879,271346555,678.5716554,0.84,0.1725051,171377,116291381,678.5705258,0.0013333,0.000242415,272,163420,600.8088235,22,0.855036414,4488440,244823982,54.54545054,674133000,204020,1.96,0.4025119,399879,271346555,678.5716554,0.84,0.1725051,171376,116291381,678.5744853,0.001333333,0.000283788,272,191311,703.3492647,22,0.855036414,4488440,244800134,54.54013733,0,0,0,-2.5766E-08,0,1,0,-0.003959542,-4.13734E-05,0,-27891,-102.5404412,27891
37,667458500,202000,1.96,0.4025119,395920,268659989,678.5714008,0.84,0.1725051,169680,115139995,678.5713991,0.0013333,0.000242415,269,161802,601.4944238,22,0.855036414,4444000,242400014,54.5454577,667458500,202000,1.96,0.4025119,395920,268659989,678.5714008,0.84,0.1725051,169680,115139995,678.5713991,0.001333333,0.000280212,269,187030,695.2788104,22,0.855036414,4444000,242378443,54.54060374,0,0,0,1.1962E-08,0,0,0,-4.19595E-09,-3.77972E-05,0,-25228,-93.78438661,25228
35,638825100,193333,1.96,0.4025093,378933,257133044,678.5712619,0.84,0.1725035,162400,110199566,678.5687562,0.0013333,0.000242389,258,154844,600.1705426,21.8333337,0.855021985,4221104,231999653,54.96184245,638825100,193333,1.96,0.402509025,378932,257132868,678.5725882,0.84,0.172503867,162399,110199800,678.5743755,0.001333333,0.00027306,258,174437,676.1124031,21.83333333,0.855021981,4221103,231982850,54.95787475,2.75E-07,1,176,-0.001326322,-3.66667E-07,1,-234,-0.005619258,-3.06708E-05,0,-19593,-75.9418605,19593
34,616800200,186666,1.96,0.4025064,365865,248266028,678.5727741,0.84,0.1725023,156799,106399453,678.5722677,0.0013333,0.000242362,249,149489,600.3574297,21.666667,0.855007552,4044430,223999350,55.38465247,616800200,186666,1.96,0.40250615,365865,248265874,678.5723532,0.84,0.172502633,156799,106399659,678.5735815,0.001333333,0.000269484,249,166218,667.5421687,21.66666667,0.855007549,4044430,223985001,55.38110463,2.5E-07,0,154,0.00042091,-3.33333E-07,0,-206,-0.001313764,-2.71216E-05,0,-16729,-67.18473897,16729
33,594778600,180000,1.96,0.4025035,352800,239400468,678.5727551,0.84,0.1725011,151200,102599963,678.5711839,0.0013333,0.000242335,240,144136,600.5666667,21.5000003,0.854993119,3870000,216000360,55.81404651,594778600,180000,1.96,0.402503275,352800,239400334,678.5723753,0.84,0.1725014,151200,102600141,678.5723611,0.001333333,0.000265907,240,158156,658.9833333,21.5,0.854993116,3870000,215988334,55.81093902,2.25E-07,0,134,0.000379817,-3E-07,0,-178,-0.001177211,-2.35724E-05,0,-14020,-58.41666663,14020
32,572752000,173333,1.96,0.4025006,339733,230533024,678.5711838,0.84,0.1724999,145600,98799663,678.569114,0.0013333,0.000242308,231,138782,600.7878788,21.3333336,0.854978686,3697771,207999669,56.25001359,572752000,173333,1.96,0.4025004,339732,230532909,678.5728427,0.84,0.172500167,145599,98799815,678.5748185,0.001333333,0.000262331,231,150251,650.4372294,21.33333333,0.854978683,3697770,207989831,56.24736828,2E-07,1,115,-0.001658911,-2.66667E-07,1,-152,-0.005704508,-2.00232E-05,0,-11469,-49.64935064,11469
31,550725400,166666,1.96,0.4024977,326665,221665707,678.5719529,0.84,0.1724987,139999,94999416,678.5721041,0.0013333,0.000242281,222,133430,601.036036,21.1666669,0.854964253,3527764,199999092,56.69287741,550725400,166666,1.96,0.402497525,326665,221665610,678.571656,0.84,0.172498933,139999,94999544,678.5730184,0.001333333,0.000258755,222,142503,641.9054054,21.16666667,0.854964251,3527763,199991308,56.69068699,1.75E-07,0,97,0.000296922,-2.33333E-07,0,-128,-0.000914279,-0.000016474,0,-9073,-40.86936941,9073
30,528702100,160000,1.96,0.4024948,313600,212799846,678.5709375,0.84,0.1724975,134400,91199790,678.5698661,0.0013333,0.000242254,213,128080,601.314554,21.0000002,0.85494982,3360000,191999829,57.14280625,528702100,160000,1.96,0.40249465,313600,212799767,678.5706856,0.84,0.1724977,134400,91199896,678.5706548,0.001333333,0.000255179,213,134914,633.399061,21,0.854949818,3360000,191993963,57.14106042,1.5E-07,0,79,0.000251913,-2E-07,0,-106,-0.000788662,-1.29248E-05,0,-6834,-32.08450703,6834
16,242346700,73333,1.96,0.4024557,143733,97533811,678.5763255,0.84,0.1724812,61600,41800250,678.575487,0.0013333,0.000229369,98,55587,567.2142857,14.6666668,0.854729408,1075551,88000420,81.81891886,242346700,73333,1.96,0.402455733,143732,97533819,678.5811023,0.84,0.172481033,61599,41800209,678.5858374,0.001333333,0.000205112,98,49708,507.2244898,14.66666667,0.85472941,1075550,88005473,81.82369299,-3.33333E-08,1,-8,-0.004776829,1.66667E-07,1,41,-0.010350432,0.000024257,0,5879,59.9897959,5879
15,223070850,67500,1.96,0.402453,132300,89775533,678.5754573,0.84,0.17248,56700,38475260,678.5760141,0.0013333,0.000227779,90,50811,564.5666667,14.0000001,0.854712682,945000,81000476,85.71478942,223070850,67500,1.96,0.402453025,132300,89775538,678.5754951,0.84,0.172479875,56700,38475232,678.5755203,0.001333333,0.000201536,90,44957,499.5222222,14,0.854712684,945000,81005500,85.72010582,-2.5E-08,0,-5,-3.77869E-05,1.25E-07,0,28,0.000493818,2.62432E-05,0,5854,65.04444448,5854
17,261621467,79166,1.96,0.4024584,155165,105291757,678.5792995,0.84,0.1724824,66499,45125099,678.5831216,0.0013333,0.000230959,106,60424,570.0377358,15.3333335,0.854746134,1213879,95000064,78.26155984,261621466.7,79166,1.96,0.402458442,155165,105291768,678.5793703,0.84,0.172482192,66499,45125044,678.5822945,0.001333333,0.000208688,106,54597,515.0660377,15.33333333,0.854746137,1213878,95005082,78.26575817,-4.16667E-08,0,-11,-7.08477E-05,2.08333E-07,0,55,0.000827129,2.22708E-05,0,5827,54.97169806,5827
14,203792200,61666,1.96,0.4024503,120865,82016232,678.5771894,0.84,0.1724788,51799,35149834,678.581324,0.0013333,0.000226189,82,46096,562.1463415,13.3333334,0.854695956,822213,73999608,90.00053271,203792200,61666,1.96,0.402450317,120865,82016235,678.5772142,0.84,0.172478717,51799,35149817,678.5809958,0.001333333,0.00019796,82,40343,491.9878049,13.33333333,0.854695957,822213,74004537,90.00652751,-1.66667E-08,0,-3,-2.48473E-05,8.33333E-08,0,17,0.000328228,2.82294E-05,0,5753,70.15853662,5753
18,280898400,85000,1.96,0.4024611,166600,113050679,678.5755042,0.84,0.1724836,71400,48450367,678.5765686,0.0013333,0.000232549,113,65323,578.079646,16.0000002,0.85476286,1360000,102000588,75.00043235,280898400,85000,1.96,0.40246115,166600,113050693,678.5755882,0.84,0.17248335,71400,48450297,678.5755882,0.001333333,0.000212264,113,59625,527.6548673,16,0.854762863,1360000,102005507,75.00404926,-5E-08,0,-14,-8.40353E-05,2.5E-07,0,70,0.000980365,2.02846E-05,0,5698,50.42477874,5698
13,184515833,55833,1.96,0.4024476,109433,74257954,678.5700292,0.84,0.1724776,46900,31824848,678.5681876,0.0013333,0.000224599,74,41442,560.027027,12.6666667,0.85467923,707218,66999663,94.73693119,184515833.3,55833,1.96,0.402447608,109432,74257956,678.5762483,0.84,0.172477558,46899,31824840,678.5824858,0.001333333,0.000194383,74,35867,484.6891892,12.66666667,0.854679231,707218,67004433,94.74367592,-8.33333E-09,1,-2,-0.006219064,4.16667E-08,1,8,-0.014298167,3.02156E-05,0,5575,75.33783781,5575
19,300172467,90833,1.96,0.4024638,178033,120808552,678.5739273,0.84,0.1724848,76300,51775188,678.5738925,0.0013333,0.000234139,121,70282,580.8429752,16.6666669,0.854779586,1513883,109000164,72.00038841,300172466.7,90833,1.96,0.402463858,178032,120808569,678.5778343,0.84,0.172484508,76299,51775100,678.5816328,0.001333333,0.000215841,121,64789,535.446281,16.66666667,0.85477959,1513883,109004920,72.00353,-5.83333E-08,1,-17,-0.003907022,2.91667E-07,1,88,-0.007740287,1.82984E-05,0,5493,45.39669421,5493
20,319446967,96666,1.96,0.4024665,189465,128566703,678.5775895,0.84,0.172486,81199,55100130,678.5813865,0.0013333,0.000235729,129,75303,583.744186,17.3333336,0.854796312,1675544,115999989,69.23124012,319446966.7,96666,1.96,0.402466567,189465,128566724,678.5777004,0.84,0.172485667,81199,55100023,678.5800687,0.001333333,0.000219417,129,70092,543.3488372,17.33333333,0.854796316,1675544,116004517,69.23394253,-6.66667E-08,0,-21,-0.000110867,3.33333E-07,0,107,0.00131778,1.63122E-05,0,5211,40.39534879,5211
21,338723550,102500,1.96,0.4024692,200900,136325796,678.5753907,0.84,0.1724872,86100,58425477,678.5769686,0.0013333,0.000237319,137,80386,586.7591241,18.0000003,0.854813038,1845000,123000664,66.66702656,338723550,102500,1.96,0.402469275,200900,136325822,678.5755202,0.84,0.172486825,86100,58425350,678.5754936,0.001333333,0.000222993,137,75533,551.3357664,18,0.854813043,1845000,123004900,66.66932249,-7.5E-08,0,-26,-0.000129459,3.75E-07,0,127,0.001474988,0.000014326,0,4853,35.42335768,4853
29,506675500,153333,1.96,0.4024919,300533,203932785,678.5703567,0.84,0.1724963,128800,87399649,678.5687034,0.0013333,0.000242227,204,122730,601.6176471,20.8333335,0.854935387,3194438,183999481,57.59995373,506675500,153333,1.96,0.402491775,300532,203932721,678.5724016,0.84,0.172496467,128799,87399733,678.574624,0.001333333,0.000251603,204,127481,624.9068627,20.83333333,0.854935385,3194437,183995402,57.59869486,1.25E-07,1,64,-0.002044908,-1.66667E-07,1,-84,-0.005920627,-9.3756E-06,0,-4751,-23.28921565,4751
22,357997233,108333,1.96,0.4024719,212333,144083827,678.5748188,0.84,0.1724884,91000,61750370,678.5754945,0.0013333,0.000238909,144,85529,593.9513889,18.666667,0.854829764,2022216,130000379,64.28609951,357997233.3,108333,1.96,0.402471983,212332,144083857,678.5781559,0.84,0.172487983,90999,61750221,678.5813141,0.001333333,0.000226569,144,81111,563.2708333,18.66666667,0.854829769,2022216,130004259,64.28801819,-8.33333E-08,1,-30,-0.003337107,4.16667E-07,1,149,-0.00581958,1.23398E-05,0,4418,30.68055557,4418
23,377269633,114166,1.96,0.4024746,223765,151841445,678.5754921,0.84,0.1724896,95899,65075088,678.5794221,0.0013333,0.000240499,152,90733,596.9276316,19.3333337,0.85484649,2207209,136999722,62.06921139,377269633.3,114166,1.96,0.402474692,223765,151841479,678.5756441,0.84,0.172489142,95899,65074915,678.5776181,0.001333333,0.000230145,152,86827,571.2302632,19.33333333,0.854846496,2207209,137003181,62.07077853,-9.16667E-08,0,-34,-0.000151991,4.58333E-07,0,173,0.001803981,1.03536E-05,0,3906,25.69736844,3906
28,484648900,146666,1.96,0.402489,287465,195065851,678.5725254,0.84,0.1724951,123199,83599560,678.573365,0.0013333,0.0002422,196,117382,598.8877551,20.6666668,0.854920954,3031097,175999249,58.06453868,484648900,146666,1.96,0.4024889,287465,195065803,678.5723584,0.84,0.172495233,123199,83599625,678.5738926,0.001333333,0.000248026,196,120206,613.2959184,20.66666667,0.854920953,3031097,175996819,58.06373699,1E-07,0,48,0.000167026,-1.33333E-07,0,-65,-0.000527645,-5.8264E-06,0,-2824,-14.40816327,2824
11,153153138,43333,1.7966665,0.4024049,77855,61629573,791.5942842,0.77,0.1724592,33366,26412668,791.6042678,0.001336,0.00016935,58,25936,447.1724138,11,0.853363675,476663,55541142,116.5207746,153153137.5,43333,1.796666667,0.40240515,77854,61629611,791.60494,0.77,0.172459367,33366,26412693,791.6050171,0.001336111,0.000187231,58,28675,494.3965517,11,0.854446033,476663,55609192,116.663538,-2.5E-07,1,-38,-0.010655816,-1.66667E-07,0,-25,-0.000749283,-0.000017881,0,-2739,-47.22413792,2739
25,418569000,126666,1.96,0.4024803,248265,168465777,678.5724005,0.84,0.1724915,106399,72199595,678.5739998,0.0013333,0.000242119,169,101344,599.6686391,20.1666667,0.854877655,2554431,151999200,59.50413223,418569000,126666,1.96,0.402480275,248265,168465766,678.5723562,0.84,0.172491533,106399,72199609,678.5741313,0.001333333,0.000237298,169,99326,587.7278107,20.16666667,0.854877655,2554431,152000922,59.50480635,2.5E-08,0,11,4.43483E-05,-3.33333E-08,0,-14,-0.000131536,4.8212E-06,0,2018,11.94082845,2018
10,134645533,36666,1.6333332,0.4023652,59888,54176677,904.6332654,0.7,0.1724422,25666,23218572,904.6431855,0.0013388,0.00016935,49,22802,465.3469388,10,0.853363675,366660,48835854,133.1911144,134645533.3,36666,1.633333333,0.4023654,59887,54176704,904.6488219,0.7,0.172442333,25666,23218590,904.6438869,0.001338889,0.000183655,49,24728,504.6530612,10,0.854229561,366660,48883723,133.3216686,-2E-07,1,-27,-0.015556548,-1.33333E-07,0,-18,-0.000701354,-1.43048E-05,0,-1926,-39.30612242,1926
