Month	Total_Inflows	Active_Accounts	ACHoutPerActive	ACHoutShare	ACHoutQuantity	ACHoutAmount	ACHoutRate	PQ_ACHoutPerActive	PQ_ACHoutShare	PQ_ACHoutQuantity	PQ_ACHoutAmount	PQ_ACHoutRate	Delta_ACH_Share	Delta_ACH_Qty	Delta_ACH_Amt	Delta_ACH_Rate	RTPoutPerActive	RTPoutShare	RTPoutQuantity	RTPoutAmount	RTPoutRate	PQ_RTPoutPerActive	PQ_RTPoutShare	PQ_RTPoutQuantity	PQ_RTPoutAmount	PQ_RTPoutRate	Delta_RTP_Share	Delta_RTP_Qty	Delta_RTP_Amt	Delta_RTP_Rate	WireOutPerActive	WireOutShare	WireOutQuantity	WireOutAmount	WireOutRate	PQ_WireOutPerActive	PQ_WireOutShare	PQ_WireOutQuantity	PQ_WireOutAmount	PQ_WireOutRate	Delta_Wire_Share	Delta_Wire_Qty	Delta_Wire_Amt	Delta_Wire_Rate	Ref_WireOutRate_Recalc	PQ_WireOutRate_Recalc	DebitCardTransactionsPerActive	DebitCardTransactionShare	DebitCardTransactionsQuantity	DebitCardTransactionAmount	DebitCardTransactionRate	PQ_DebitPerActive	PQ_DebitShare	PQ_DebitQuantity	PQ_DebitAmount	PQ_DebitRate
11	153153138	43333	1.7966665	0.4024049	77855	61629573	791.5942842	1.796666667	0.40240515	77854	61629611	791.60494	-2.5E-07	1	-38	-0.010655816	0.77	0.1724592	33366	26412668	791.6042678	0.77	0.172459367	33366	26412693	791.6050171	-1.66667E-07	0	-25	-0.000749283	0.001336	0.00016935	58	25936	447.1724138	0.001336111	0.000187231	58	28675	494.3965517	-1.7881E-05	0	-2739	-47.22413792	447.1724138	494.3965517	11	0.853363675	476663	55541142	116.5207746	11	0.854446033	476663	55609192	116.663538
12	165240000	50000	1.96	0.4024449	98000	66500000	678.5714286	1.96	0.4024449	98000	66499995	678.5713776	0	0	5	5.1049E-05	0.84	0.1724764	42000	28500000	678.5714286	0.84	0.1724764	42000	28500000	678.5714286	0	0	0	2.8571E-08	0.0013333	0.000223009	67	36850	550	0.001333333	0.000223009	67	36850	550	0	0	0	0	550	550	12	0.854662504	600000	60000000	100	12	0.854662504	600000	60000004	100.0000067
13	184515833	55833	1.96	0.4024476	109433	74257954	678.5700292	1.96	0.402447608	109432	74257956	678.5762483	-8.33333E-09	1	-2	-0.006219064	0.84	0.1724776	46900	31824848	678.5681876	0.84	0.172477558	46899	31824840	678.5824858	4.16667E-08	1	8	-0.014298167	0.0013333	0.000224599	74	41442	560.027027	0.001333333	0.000194383	74	35867	484.6891892	3.02156E-05	0	5575	75.33783781	560.027027	484.6891892	12.6666667	0.85467923	707218	66999663	94.73693119	12.66666667	0.854679231	707218	67004433	94.74367592
14	203792200	61666	1.96	0.4024503	120865	82016232	678.5771894	1.96	0.402450317	120865	82016235	678.5772142	-1.66667E-08	0	-3	-2.48473E-05	0.84	0.1724788	51799	35149834	678.581324	0.84	0.172478717	51799	35149817	678.5809958	8.33333E-08	0	17	0.000328228	0.0013333	0.000226189	82	46096	562.1463415	0.001333333	0.00019796	82	40343	491.9878049	2.82294E-05	0	5753	70.15853662	562.1463415	491.9878049	13.3333334	0.854695956	822213	73999608	90.00053271	13.33333333	0.854695957	822213	74004537	90.00652751
15	223070850	67500	1.96	0.402453	132300	89775533	678.5754573	1.96	0.402453025	132300	89775538	678.5754951	-2.5E-08	0	-5	-3.77869E-05	0.84	0.17248	56700	38475260	678.5760141	0.84	0.172479875	56700	38475232	678.5755203	1.25E-07	0	28	0.000493818	0.0013333	0.000227779	90	50811	564.5666667	0.001333333	0.000201536	90	44957	499.5222222	2.62432E-05	0	5854	65.04444448	564.5666667	499.5222222	14.0000001	0.854712682	945000	81000476	85.71478942	14	0.854712684	945000	81005500	85.72010582
16	242346700	73333	1.96	0.4024557	143733	97533811	678.5763255	1.96	0.402455733	143732	97533819	678.5811023	-3.33333E-08	1	-8	-0.004776829	0.84	0.1724812	61600	41800250	678.575487	0.84	0.172481033	61599	41800209	678.5858374	1.66667E-07	1	41	-0.010350432	0.0013333	0.000229369	98	55587	567.2142857	0.001333333	0.000205112	98	49708	507.2244898	2.4257E-05	0	5879	59.9897959	567.2142857	507.2244898	14.6666668	0.854729408	1075551	88000420	81.81891886	14.66666667	0.85472941	1075550	88005473	81.82369299
17	261621467	79166	1.96	0.4024584	155165	105291757	678.5792995	1.96	0.402458442	155165	105291768	678.5793703	-4.16667E-08	0	-11	-7.08477E-05	0.84	0.1724824	66499	45125099	678.5831216	0.84	0.172482192	66499	45125044	678.5822945	2.08333E-07	0	55	0.000827129	0.0013333	0.000230959	106	60424	570.0377358	0.001333333	0.000208688	106	54597	515.0660377	2.22708E-05	0	5827	54.97169806	570.0377358	515.0660377	15.3333335	0.854746134	1213879	95000064	78.26155984	15.33333333	0.854746137	1213878	95005082	78.26575817
18	280898400	85000	1.96	0.4024611	166600	113050679	678.5755042	1.96	0.40246115	166600	113050693	678.5755882	-5.0E-08	0	-14	-8.40353E-05	0.84	0.1724836	71400	48450367	678.5765686	0.84	0.17248335	71400	48450297	678.5755882	2.5E-07	0	70	0.000980365	0.0013333	0.000232549	113	65323	578.079646	0.001333333	0.000212264	113	59625	527.6548673	2.02846E-05	0	5698	50.42477874	578.079646	527.6548673	16.0000002	0.85476286	1360000	102000588	75.00043235	16	0.854762863	1360000	102005507	75.00404926
19	300172467	90833	1.96	0.4024638	178033	120808552	678.5739273	1.96	0.402463858	178032	120808569	678.5778343	-5.83333E-08	1	-17	-0.003907022	0.84	0.1724848	76300	51775188	678.5738925	0.84	0.172484508	76299	51775100	678.5816328	2.91667E-07	1	88	-0.007740287	0.0013333	0.000234139	121	70282	580.8429752	0.001333333	0.000215841	121	64789	535.446281	1.82984E-05	0	5493	45.39669421	580.8429752	535.446281	16.6666669	0.854779586	1513883	109000164	72.00038841	16.66666667	0.85477959	1513883	109004920	72.00353
20	319446967	96666	1.96	0.4024665	189465	128566703	678.5775895	1.96	0.402466567	189465	128566724	678.5777004	-6.66667E-08	0	-21	-0.000110867	0.84	0.172486	81199	55100130	678.5813865	0.84	0.172485667	81199	55100023	678.5800687	3.33333E-07	0	107	0.00131778	0.0013333	0.000235729	129	75303	583.744186	0.001333333	0.000219417	129	70092	543.3488372	1.63122E-05	0	5211	40.39534879	583.744186	543.3488372	17.3333336	0.854796312	1675544	115999989	69.23124012	17.33333333	0.854796316	1675544	116004517	69.23394253
