Month	Total_Inflows	Active_Accounts	ACHoutPerActive	ACHoutShare	ACHoutQuantity	ACHoutAmount	ACHoutRate	PQ_ACHoutPerActive	PQ_ACHoutShare	PQ_ACHoutQuantity	PQ_ACHoutAmount	PQ_ACHoutRate	Delta_ACH_Share	Delta_ACH_Qty	Delta_ACH_Amt	Delta_ACH_Rate	RTPoutPerActive	RTPoutShare	RTPoutQuantity	RTPoutAmount	RTPoutRate	PQ_RTPoutPerActive	PQ_RTPoutShare	PQ_RTPoutQuantity	PQ_RTPoutAmount	PQ_RTPoutRate	Delta_RTP_Share	Delta_RTP_Qty	Delta_RTP_Amt	Delta_RTP_Rate	WireOutPerActive	WireOutShare	WireOutQuantity	WireOutAmount	WireOutRate	PQ_WireOutPerActive	PQ_WireOutShare	PQ_WireOutQuantity	PQ_WireOutAmount	PQ_WireOutRate	Delta_Wire_Share	Delta_Wire_Qty	Delta_Wire_Amt	Delta_Wire_Rate	Ref_WireOutRate_Recalc	PQ_WireOutRate_Recalc	DebitCardTransactionsPerActive	DebitCardTransactionShare	DebitCardTransactionsQuantity	DebitCardTransactionAmount	DebitCardTransactionRate	PQ_DebitPerActive	PQ_DebitShare	PQ_DebitQuantity	PQ_DebitAmount	PQ_DebitRate
40	687680000	208120	1.96	0.4025119	407915	276799383	678.5712293	1.96	0.4025119	407915	276799383	678.5712293	0	0	0	-2.21917E-10	0.84	0.1725051	174821	118628307	678.5701203	0.84	0.1725051	174820	118628307	678.5740018	0	1	0	-0.00388153	0.0013333	0.000242415	277	166704	601.8194946	0.001333333	0.000290941	277	200074	722.2888087	-4.85258E-05	0	-33370	-120.4693141	601.8194946	722.2888087	22	0.855036414	4578640	249743829	54.5454172	22	0.855036414	4578640	249715297	54.53918565
41	694557500	210201	1.96	0.4025119	411994	279567659	678.5721612	1.96	0.4025119	411993	279567659	678.5738083	0	1	0	-0.001647093	0.84	0.1725051	176569	119814711	678.5716122	0.84	0.1725051	176568	119814711	678.5754553	0	1	0	-0.003843149	0.0013333	0.000242415	280	168371	601.325	0.001333333	0.000294517	280	204559	730.5678571	-5.2102E-05	0	-36188	-129.2428571	601.325	730.5678571	22	0.855036414	4624422	252241521	54.54552396	22	0.855036414	4624422	252210579	54.53883296
42	701502600	212303	1.96	0.4025119	416114	282363144	678.571603	1.96	0.4025119	416113	282363144	678.5732337	0	1	0	-0.001630713	0.84	0.1725051	178335	121012776	678.5699722	0.84	0.1725051	178334	121012776	678.5737773	0	1	0	-0.003805094	0.0013333	0.000242415	283	170055	600.9010601	0.001333333	0.000298093	283	209113	738.9151943	-5.56782E-05	0	-39058	-138.0141342	600.9010601	738.9151943	22	0.855036414	4670666	254763764	54.54548966	22	0.855036414	4670666	254730368	54.5383395
43	708517000	214426	1.96	0.4025119	420275	285186524	678.5712307	1.96	0.4025119	420274	285186524	678.5728453	0	1	0	-0.001614634	0.84	0.1725051	180118	122222796	678.5706925	0.84	0.1725051	180117	122222796	678.5744599	0	1	0	-0.003767434	0.0013333	0.000242415	286	171755	600.541958	0.001333333	0.000301669	286	213738	747.3356643	-5.92544E-05	0	-41983	-146.7937063	600.541958	747.3356643	22	0.855036414	4717372	257311174	54.54544903	22	0.855036414	4717372	257275277	54.5378395
44	715600700	216570	1.96	0.4025119	424477	288037797	678.5710345	1.96	0.4025119	424477	288037797	678.5710345	0	0	0	2.69901E-08	0.84	0.1725051	181919	123444770	678.569968	0.84	0.1725051	181918	123444770	678.573698	0	1	0	-0.00373004	0.0013333	0.000242415	289	173472	600.2491349	0.001333333	0.000305246	289	218434	755.8269896	-6.28306E-05	0	-44962	-155.5778547	600.2491349	755.8269896	22	0.855036414	4764540	259883753	54.5454027	22	0.855036414	4764540	259845309	54.53733393
45	722755400	218735	1.96	0.4025119	428721	290917649	678.5710264	1.96	0.4025119	428720	290917649	678.5726092	0	1	0	-0.001582762	0.84	0.1725051	183737	124678993	678.5731399	0.84	0.1725051	183737	124678993	678.5731399	0	0	0	3.1601E-08	0.0013333	0.000242415	292	175207	600.0239726	0.001333333	0.000308822	292	223203	764.3938356	-6.64068E-05	0	-47996	-164.369863	600.0239726	764.3938356	22	0.855036414	4812170	262482115	54.54547844	22	0.855036414	4812170	262441076	54.53695027
46	729981000	220922	1.96	0.4025119	433007	293826039	678.5711062	1.96	0.4025119	433007	293826039	678.5711062	0	0	0	-4.0777E-08	0.84	0.1725051	185574	125925445	678.5726718	0.84	0.1725051	185574	125925445	678.5726718	0	0	0	-1.825E-08	0.0013333	0.000242415	295	176958	599.8576271	0.001333333	0.000312398	295	228045	773.0338983	-6.9983E-05	0	-51087	-173.1762712	599.8576271	773.0338983	22	0.855036414	4860284	265106227	54.54541895	22	0.855036414	4860284	265062546	54.53643162
47	737280900	223131	1.96	0.4025119	437337	296764336	678.5712986	1.96	0.4025119	437336	296764336	678.5728502	0	1	0	-0.001551566	0.84	0.1725051	187430	127184715	678.5718135	0.84	0.1725051	187430	127184715	678.5718135	0	0	0	2.29679E-08	0.0013333	0.000242415	298	178728	599.7583893	0.001333333	0.000315974	298	232962	781.7516779	-7.35592E-05	0	-54234	-181.9932886	599.7583893	781.7516779	22	0.855036414	4908882	267757322	54.5454794	22	0.855036414	4908882	267710950	54.53603285
48	744651700	225362	1.96	0.4025119	441710	299731171	678.5700369	1.96	0.4025119	441709	299731171	678.5715731	0	1	0	-0.00153624	0.84	0.1725051	189304	128456216	678.5710603	0.84	0.1725051	189304	128456216	678.5710603	0	0	0	-5.11795E-09	0.0013333	0.000242415	300	180515	601.7166667	0.001333333	0.00031955	300	237954	793.18	-7.71354E-05	0	-57439	-191.4633333	601.7166667	793.18	22	0.855036414	4957964	270434164	54.54540695	22	0.855036414	4957964	270385052	54.53550127
49	752096800	227615	1.96	0.4025119	446125	302727912	678.5719518	1.96	0.4025119	446125	302727912	678.5719518	0	0	0	-7.229E-09	0.84	0.1725051	191197	129740534	678.5699253	0.84	0.1725051	191196	129740534	678.5734743	0	1	0	-0.00354904	0.0013333	0.000242415	303	182320	601.7161716	0.001333333	0.000323127	303	243022	802.0528053	-8.07116E-05	0	-60702	-200.3366337	601.7161716	802.0528053	22	0.855036414	5007530	273137991	54.54545275	22	0.855036414	5007530	273086089	54.53508796
50	759617800	229891	1.96	0.4025119	450586	305755204	678.5723569	1.96	0.4025119	450586	305755204	678.5723569	0	0	0	1.3634E-08	0.84	0.1725051	193108	131037945	678.5733631	0.84	0.1725051	193108	131037945	678.5733631	0	0	0	7.84405E-09	0.0013333	0.000242415	307	184143	599.8143322	0.001333333	0.000326703	307	248169	808.3680782	-8.42878E-05	0	-64026	-208.553746	599.8143322	808.3680782	22	0.855036414	5057602	275869383	54.54549073	22	0.855036414	5057602	275814638	54.53466643
51	767209700	232189	1.96	0.4025119	455090	308811034	678.5713463	1.96	0.4025119	455090	308811034	678.5713463	0	0	0	-2.71E-08	0.84	0.1725051	195039	132347586	678.5698553	0.84	0.1725051	195038	132347586	678.5733344	0	1	0	-0.003479127	0.0013333	0.000242415	310	185983	599.9451613	0.001333333	0.000330279	310	253393	817.3967742	-8.7864E-05	0	-67410	-217.4516129	599.9451613	817.3967742	22	0.855036414	5108158	278626524	54.54540051	22	0.855036414	5108158	278568886	54.53411699
52	774879200	234510	1.96	0.4025119	459640	311898099	678.5704007	1.96	0.4025119	459639	311898099	678.5718771	0	1	0	-0.00147636	0.84	0.1725051	196988	133670614	678.5723699	0.84	0.1725051	196988	133670614	678.5723699	0	0	0	9.44806E-09	0.0013333	0.000242415	313	187842	600.1341853	0.001333333	0.000333855	313	258697	826.5079872	-9.14402E-05	0	-70855	-226.3738019	600.1341853	826.5079872	22	0.855036414	5159220	281411846	54.5454247	22	0.855036414	5159220	281351263	54.53368203
53	782627900	236855	1.96	0.4025119	464236	315017043	678.5709057	1.96	0.4025119	464235	315017043	678.5723674	0	1	0	-0.001461743	0.84	0.1725051	198958	135007304	678.5718795	0.84	0.1725051	198958	135007304	678.5718795	0	0	0	7.84598E-09	0.0013333	0.000242415	316	189721	600.3829114	0.001333333	0.000337431	316	264083	835.7056962	-9.50164E-05	0	-74362	-235.3227848	600.3829114	835.7056962	22	0.855036414	5210810	284225931	54.5454413	22	0.855036414	5210810	284162349	54.53323936
54	790452500	239223	1.96	0.4025119	468877	318166538	678.5714334	1.96	0.4025119	468877	318166538	678.5714334	0	0	0	-4.62979E-08	0.84	0.1725051	200947	136357088	678.5723997	0.84	0.1725051	200947	136357088	678.5723997	0	0	0	1.252E-08	0.0013333	0.000242415	319	191618	600.6833856	0.001333333	0.000341008	319	269550	844.984326	-9.85926E-05	0	-77932	-244.3009404	600.6833856	844.984326	22	0.855036414	5262906	287067579	54.54545056	22	0.855036414	5262906	287000945	54.53278949
55	798356300	241615	1.96	0.4025119	473565	321347911	678.5719194	1.96	0.4025119	473565	321347911	678.5719194	0	0	0	2.25119E-08	0.84	0.1725051	202957	137720533	678.5700074	0.84	0.1725051	202956	137720533	678.5733509	0	1	0	-0.003343474	0.0013333	0.000242415	322	193534	601.0372671	0.001333333	0.000344584	322	275101	854.3509317	-0.000102169	0	-81567	-253.3136646	601.0372671	854.3509317	22	0.855036414	5315530	289937993	54.54545323	22	0.855036414	5315530	289868250	54.53233262
56	806339300	244031	1.96	0.4025119	478301	324561164	678.5709501	1.96	0.4025119	478300	324561164	678.5723688	0	1	0	-0.001418706	0.84	0.1725051	204986	139097642	678.5714244	0.84	0.1725051	204986	139097642	678.5714244	0	0	0	1.0042E-08	0.0013333	0.000242415	325	195469	601.4430769	0.001333333	0.00034816	325	280735	863.8	-0.000105745	0	-85266	-262.3569231	601.4430769	863.8	22	0.855036414	5368682	292837168	54.54544858	22	0.855036414	5368682	292764262	54.53186872
57	814401500	246471	1.96	0.4025119	483083	327806295	678.5713739	1.96	0.4025119	483083	327806295	678.5713739	0	0	0	3.671E-08	0.84	0.1725051	207036	140488412	678.5699685	0.84	0.1725051	207035	140488412	678.5732461	0	1	0	-0.00327757	0.0013333	0.000242415	329	197423	600.0699088	0.001333333	0.000351736	329	286454	870.6808511	-0.000109321	0	-89031	-270.6109423	600.0699088	870.6808511	22	0.855036414	5422362	295765107	54.54543739	22	0.855036414	5422362	295688983	54.53139849
58	822542900	248935	1.96	0.4025119	487913	331083306	678.5703722	1.96	0.4025119	487912	331083306	678.5717629	0	1	0	-0.001390741	0.84	0.1725051	209105	141892845	678.5722245	0.84	0.1725051	209105	141892845	678.5722245	0	0	0	1.94759E-08	0.0013333	0.000242415	332	199397	600.5933735	0.001333333	0.000355312	332	292260	880.3012048	-0.000112897	0	-92863	-279.7078313	600.5933735	880.3012048	22	0.855036414	5476570	298721808	54.54541949	22	0.855036414	5476570	298642407	54.53092118
59	830768500	251424	1.96	0.4025119	492791	334394207	678.572066	1.96	0.4025119	492791	334394207	678.572066	0	0	0	-4.82841E-08	0.84	0.1725051	211196	143311803	678.572525	0.84	0.1725051	211196	143311803	678.572525	0	0	0	-4.78229E-08	0.0013333	0.000242415	335	201391	601.1671642	0.001333333	0.000358889	335	298153	890.0089552	-0.000116474	0	-96762	-288.841791	601.1671642	890.0089552	22	0.855036414	5531328	301709089	54.54550679	22	0.855036414	5531328	301626354	54.53054926
60	839074900	253938	1.96	0.4025119	497718	337737632	678.5722678	1.96	0.4025119	497718	337737632	678.5722678	0	0	0	-3.0378E-08	0.84	0.1725051	213308	144744700	678.5713616	0.84	0.1725051	213307	144744700	678.5745428	0	1	0	-0.003181195	0.0013333	0.000242415	339	203404	600.0117994	0.001333333	0.000362465	339	304135	897.1533923	-0.00012005	0	-100731	-297.1415929	600.0117994	897.1533923	22	0.855036414	5586636	304725713	54.54547477	22	0.855036414	5586636	304639584	54.5300578
